Sample,mE,mN,Lithology,Alteration,Temp,d18O,SiO2,Al2O3,Fe2O3t,MgO,CaO,Na2O,K2O
207294,731305,7653742,andesite-basalt,trans-cq,300,14.1,59.97,11.05,11.09,3.65,3.11,0.04,1.64
207143,727601,7658811,andesite,cq,350,3.9,60.76,12,13.37,6.87,0.31,0.1,0.13
207125,727959,7658579,andesite,cq,350,4.8,62.52,12.11,12.02,5.73,0.34,0.06,0.75
207493,728054,7658668,andesite,cq,350,3.9,64.86,11.29,11.12,5.8,0.3,0.07,0.66
207497,728006,7658383,andesite,cq,350,5.6,65.4,13.3,10.32,3.65,0.3,0,1.87
207198,729031,7657228,andesite-basalt,cq,350,5.83,57.47,10.91,19.34,4.31,0.42,0.02,0.98
207221,725403,7657540,andesite,cq,350,4.81,61.24,11.15,12.31,7.54,0.33,0.04,0.48
207348,731792,7648612,microdiorite,cq,350,5.8,61.96,11.74,12.3,5.73,0.53,0,0.87
207401,727204,7644025,microdiorite,cq,350,5,55.02,12.42,19.69,4.5,0.34,0.16,1.14
207325,730603,7650332,microdiorite,cq,350,5.9,59.79,16.3,9.29,3.79,0.2,0.04,4.16
207494,727789,7658953,andesite-basalt,cq,350,5,62.28,10.89,13.81,5.96,0.48,0,0.13
207250,729474,7656270,andesite-basalt,cq,350,5.2,61.5,11.7,11.13,7.8,0.51,0.14,0.18
207175,728434,7658313,andesite-basalt,cq,350,5.6,58.18,11.65,15.57,6.9,0.38,0.03,0.03
207119,728412,7658900,andesite-basalt,cq,350,4.2,58.45,11.38,16.94,5.54,0.5,0,0.1
207113,728540,7658662,andesite-basalt,cq,350,4.7,61.51,10.29,15.12,5.45,0.37,0,0.05
207106,728802,7657838,andesite-basalt,cq,350,5.2,59.37,10.96,16.11,5.83,0.41,0.01,0.05
207306,730305,7652427,andesite-basalt,cq,350,4.8,55.27,14.35,18.02,4.05,0.2,0.15,0.8
207311,731192,7651532,andesite-basalt,cq,350,3.1,62.48,9.97,18.37,3.21,0.17,0.01,0.12
207403,727468,7643750,andesite-basalt,cq,350,3.6,62.12,11.68,13.01,6.02,0.48,0.03,0.47
207104,728704,7658028,andesite-basalt,cq,350,5.5,58.45,11.42,16.49,5.88,0.45,0,0.18
